Sameinuð vísitala íbúðaverðs,Sameinuð sérbýli,Sameinuð fjölbýli,Year,Month,Earliest Date
0.6653,,,1981,January,1981-01-01 00:00:00
0.6653,,,1981,February,1981-02-01 00:00:00
0.6653,,,1981,March,1981-03-01 00:00:00
0.6697,,,1981,April,1981-04-01 00:00:00
0.6831,,,1981,May,1981-05-01 00:00:00
0.7381,,,1981,June,1981-06-01 00:00:00
0.7774,,,1981,July,1981-07-01 00:00:00
0.8402,,,1981,August,1981-08-01 00:00:00
0.8889,,,1981,September,1981-09-01 00:00:00
0.9256,,,1981,October,1981-10-01 00:00:00
0.9449,,,1981,November,1981-11-01 00:00:00
0.9648,,,1981,December,1981-12-01 00:00:00
1.0028,,,1982,January,1982-01-01 00:00:00
1.0838,,,1982,February,1982-02-01 00:00:00
1.1557,,,1982,March,1982-03-01 00:00:00
1.2525,,,1982,April,1982-04-01 00:00:00
1.3547,,,1982,May,1982-05-01 00:00:00
1.3423,,,1982,June,1982-06-01 00:00:00
1.3267,,,1982,July,1982-07-01 00:00:00
1.3924,,,1982,August,1982-08-01 00:00:00
1.5694,,,1982,September,1982-09-01 00:00:00
1.6471,,,1982,October,1982-10-01 00:00:00
1.6361,,,1982,November,1982-11-01 00:00:00
1.6363,,,1982,December,1982-12-01 00:00:00
1.6566,,,1983,January,1983-01-01 00:00:00
1.7339,,,1983,February,1983-02-01 00:00:00
1.8006,,,1983,March,1983-03-01 00:00:00
1.848,,,1983,April,1983-04-01 00:00:00
1.9245,,,1983,May,1983-05-01 00:00:00
1.9831,,,1983,June,1983-06-01 00:00:00
2.0865,,,1983,July,1983-07-01 00:00:00
2.1185,,,1983,August,1983-08-01 00:00:00
2.2083,,,1983,September,1983-09-01 00:00:00
2.2394,,,1983,October,1983-10-01 00:00:00
2.3427,,,1983,November,1983-11-01 00:00:00
2.4111,,,1983,December,1983-12-01 00:00:00
2.4686,,,1984,January,1984-01-01 00:00:00
2.5847,,,1984,February,1984-02-01 00:00:00
2.6087,,,1984,March,1984-03-01 00:00:00
2.6483,,,1984,April,1984-04-01 00:00:00
2.6587,,,1984,May,1984-05-01 00:00:00
2.7967,,,1984,June,1984-06-01 00:00:00
2.8409,,,1984,July,1984-07-01 00:00:00
2.9778,,,1984,August,1984-08-01 00:00:00
2.919,,,1984,September,1984-09-01 00:00:00
2.9696,,,1984,October,1984-10-01 00:00:00
2.8921,,,1984,November,1984-11-01 00:00:00
