,date,value
0,1981-01-01,0.6653
1,1981-02-01,0.6653
2,1981-03-01,0.6653
3,1981-04-01,0.6697
4,1981-05-01,0.6831
5,1981-06-01,0.7381
6,1981-07-01,0.7774
7,1981-08-01,0.8402
8,1981-09-01,0.8889
9,1981-10-01,0.9256
10,1981-11-01,0.9449
11,1981-12-01,0.9648
12,1982-01-01,1.0028
13,1982-02-01,1.0838
14,1982-03-01,1.1557
15,1982-04-01,1.2525
16,1982-05-01,1.3547
17,1982-06-01,1.3423
18,1982-07-01,1.3267
19,1982-08-01,1.3924
20,1982-09-01,1.5694
21,1982-10-01,1.6471
22,1982-11-01,1.6361
23,1982-12-01,1.6363
24,1983-01-01,1.6566
25,1983-02-01,1.7339
26,1983-03-01,1.8006
27,1983-04-01,1.848
28,1983-05-01,1.9245
29,1983-06-01,1.9831
30,1983-07-01,2.0865
31,1983-08-01,2.1185
32,1983-09-01,2.2083
33,1983-10-01,2.2394
34,1983-11-01,2.3427
35,1983-12-01,2.4111
36,1984-01-01,2.4686
37,1984-02-01,2.5847
38,1984-03-01,2.6087
39,1984-04-01,2.6483
40,1984-05-01,2.6587
41,1984-06-01,2.7967
42,1984-07-01,2.8409
43,1984-08-01,2.9778
44,1984-09-01,2.919
45,1984-10-01,2.9696
46,1984-11-01,2.8921
47,1984-12-01,2.9097
48,1985-01-01,2.9586
49,1985-02-01,3.065
50,1985-03-01,3.0647
51,1985-04-01,3.0862
52,1985-05-01,3.0989
53,1985-06-01,3.2656
54,1985-07-01,3.2659
55,1985-08-01,3.3378
56,1985-09-01,3.2663
57,1985-10-01,3.3507
58,1985-11-01,3.3838
59,1985-12-01,3.4374
60,1986-01-01,3.4363
61,1986-02-01,3.4136
62,1986-03-01,3.3883
63,1986-04-01,3.373
64,1986-05-01,3.4135
65,1986-06-01,3.5108
66,1986-07-01,3.5638
67,1986-08-01,3.6035
68,1986-09-01,3.754
69,1986-10-01,3.909
70,1986-11-01,4.055
71,1986-12-01,4.0512
72,1987-01-01,4.1587
73,1987-02-01,4.332
74,1987-03-01,4.4626
75,1987-04-01,4.5602
76,1987-05-01,4.6737
77,1987-06-01,4.7376
78,1987-07-01,4.8888
79,1987-08-01,4.9826
80,1987-09-01,5.1348
81,1987-10-01,5.3142
82,1987-11-01,5.4668
83,1987-12-01,5.6413
84,1988-01-01,5.701
85,1988-02-01,6.1097
86,1988-03-01,6.2483
87,1988-04-01,6.3915
88,1988-05-01,6.3935
89,1988-06-01,6.5256
90,1988-07-01,6.6193
91,1988-08-01,6.5653
92,1988-09-01,6.5637
93,1988-10-01,6.6741
94,1988-11-01,7.1323
95,1988-12-01,7.2696
96,1989-01-01,7.2857
97,1989-02-01,7.0544
98,1989-03-01,7.3241
99,1989-04-01,7.4491
100,1989-05-01,7.7821
101,1989-06-01,7.7826
102,1989-07-01,7.8637
103,1989-08-01,7.8904
104,1989-09-01,7.8202
105,1989-10-01,7.9878
106,1989-11-01,8.0218
107,1989-12-01,8.1914
108,1990-01-01,8.2793
109,1990-02-01,8.4677
110,1990-03-01,8.5972
111,1990-04-01,8.6283
112,1990-05-01,8.6645
113,1990-06-01,8.7528
114,1990-07-01,8.7496
115,1990-08-01,8.7916
116,1990-09-01,8.8656
117,1990-10-01,9.0972
118,1990-11-01,9.226
119,1990-12-01,9.1652
120,1991-01-01,9.23
121,1991-02-01,9.2567
122,1991-03-01,9.4969
123,1991-04-01,9.5729
124,1991-05-01,9.6762
125,1991-06-01,9.8142
126,1991-07-01,9.8675
127,1991-08-01,9.9954
128,1991-09-01,9.9225
129,1991-10-01,9.9243
130,1991-11-01,9.8094
131,1991-12-01,9.9299
132,1992-01-01,9.9096
133,1992-02-01,10.1197
134,1992-03-01,10.1703
135,1992-04-01,10.1456
136,1992-05-01,10.183
137,1992-06-01,10.1085
138,1992-07-01,10.2887
139,1992-08-01,10.2148
140,1992-09-01,10.2416
141,1992-10-01,10.2653
142,1992-11-01,10.2712
143,1992-12-01,10.2536
144,1993-01-01,10.07
145,1993-02-01,10.3011
146,1993-03-01,10.263
147,1993-04-01,10.2952
148,1993-05-01,10.172
149,1993-06-01,10.2913
150,1993-07-01,10.3019
151,1993-08-01,10.0815
152,1993-09-01,9.9436
153,1993-10-01,9.9246
154,1993-11-01,10.0141
155,1993-12-01,10.0241
156,1994-01-01,10.0241
157,1994-02-01,9.994
158,1994-03-01,10.2245
159,1994-04-01,10.1043
160,1994-05-01,10.004
161,1994-06-01,10.2145
162,1994-07-01,10.1243
163,1994-08-01,9.9539
164,1994-09-01,9.9238
165,1994-10-01,9.8837
166,1994-11-01,9.8737
167,1994-12-01,9.9639
168,1995-01-01,9.6732
169,1995-02-01,9.6231
170,1995-03-01,9.7634
171,1995-04-01,9.8536
172,1995-05-01,9.563
173,1995-06-01,9.7434
174,1995-07-01,9.6131
175,1995-08-01,9.603
176,1995-09-01,9.7434
177,1995-10-01,9.6732
178,1995-11-01,9.6832
179,1995-12-01,9.4026
180,1996-01-01,9.4828
181,1996-02-01,9.563
182,1996-03-01,9.5429
183,1996-04-01,9.6331
184,1996-05-01,9.6131
185,1996-06-01,9.7233
186,1996-07-01,9.8035
187,1996-08-01,9.9238
188,1996-09-01,9.6431
189,1996-10-01,9.7133
190,1996-11-01,9.6231
191,1996-12-01,9.8436
192,1997-01-01,9.6431
193,1997-02-01,9.7534
194,1997-03-01,9.7534
195,1997-04-01,9.984
196,1997-05-01,9.9138
197,1997-06-01,9.9338
198,1997-07-01,9.9038
199,1997-08-01,9.8837
200,1997-09-01,9.8336
201,1997-10-01,10.014
202,1997-11-01,10.0241
203,1997-12-01,10.0241
204,1998-01-01,10.0942
205,1998-02-01,10.2747
206,1998-03-01,10.3549
207,1998-04-01,10.4451
208,1998-05-01,10.4852
209,1998-06-01,10.5253
210,1998-07-01,10.5253
211,1998-08-01,10.5654
212,1998-09-01,10.836
213,1998-10-01,10.7358
214,1998-11-01,10.6656
215,1998-12-01,10.816
216,1999-01-01,11.1067
217,1999-02-01,11.2269
218,1999-03-01,11.5477
219,1999-04-01,11.6881
220,1999-05-01,11.9587
221,1999-06-01,12.1893
222,1999-07-01,12.5401
223,1999-08-01,12.6504
224,1999-09-01,12.7606
225,1999-10-01,12.8508
226,1999-11-01,13.0313
227,1999-12-01,13.2117
228,2000-01-01,13.322
229,2000-02-01,13.9535
230,2000-03-01,13.9535
231,2000-04-01,14.0437
232,2000-05-01,14.1239
233,2000-06-01,14.2642
234,2000-07-01,14.4046
235,2000-08-01,14.575
236,2000-09-01,14.6451
237,2000-10-01,14.575
238,2000-11-01,14.9459
239,2000-12-01,14.9759
240,2001-01-01,14.8356
241,2001-02-01,15.3368
242,2001-03-01,15.2867
243,2001-04-01,15.4671
244,2001-05-01,15.0261
245,2001-06-01,15.3368
246,2001-07-01,15.2666
247,2001-08-01,15.016
248,2001-09-01,15.0762
249,2001-10-01,15.2265
250,2001-11-01,15.3168
251,2001-12-01,15.437
252,2002-01-01,15.5373
253,2002-02-01,15.6576
254,2002-03-01,15.6977
255,2002-04-01,15.437
256,2002-05-01,15.828
257,2002-06-01,15.6375
258,2002-07-01,15.838
259,2002-08-01,15.9282
260,2002-09-01,16.0986
261,2002-10-01,16.4094
262,2002-11-01,16.4796
263,2002-12-01,16.5998
264,2003-01-01,16.9407
265,2003-02-01,17.0609
266,2003-03-01,17.3917
267,2003-04-01,17.2213
268,2003-05-01,17.6323
269,2003-06-01,17.9531
270,2003-07-01,18.0433
271,2003-08-01,18.3039
272,2003-09-01,18.1235
273,2003-10-01,18.4443
274,2003-11-01,18.5646
275,2003-12-01,18.1034
276,2004-01-01,18.354
277,2004-02-01,18.6347
278,2004-03-01,19.0758
279,2004-04-01,19.5369
280,2004-05-01,19.6472
281,2004-06-01,19.7273
282,2004-07-01,20.3087
283,2004-08-01,20.0481
284,2004-09-01,20.7197
285,2004-10-01,20.9804
286,2004-11-01,21.7823
287,2004-12-01,22.3236
288,2005-01-01,23.4663
289,2005-02-01,24.6291
290,2005-03-01,25.2205
291,2005-04-01,26.2029
292,2005-05-01,27.2053
293,2005-06-01,27.3857
294,2005-07-01,28.3079
295,2005-08-01,28.1375
296,2005-09-01,28.3982
297,2005-10-01,28.6287
298,2005-11-01,29.5108
299,2005-12-01,29.2402
300,2006-01-01,29.4006
301,2006-02-01,29.982
302,2006-03-01,30.4932
303,2006-04-01,30.844
304,2006-05-01,30.7839
305,2006-06-01,30.9743
306,2006-07-01,30.433
307,2006-08-01,31.1748
308,2006-09-01,31.3853
309,2006-10-01,30.6836
310,2006-11-01,30.9142
311,2006-12-01,30.7037
312,2007-01-01,31.4154
313,2007-02-01,31.4956
314,2007-03-01,32.2574
315,2007-04-01,32.4779
316,2007-05-01,33.6508
317,2007-06-01,33.8212
318,2007-07-01,34.2923
319,2007-08-01,34.5529
320,2007-09-01,34.8336
321,2007-10-01,35.816
322,2007-11-01,35.2747
323,2007-12-01,35.2947
324,2008-01-01,35.826
325,2008-02-01,35.4952
326,2008-03-01,35.3549
327,2008-04-01,34.7534
328,2008-05-01,34.9338
329,2008-06-01,34.9138
330,2008-07-01,35.1844
331,2008-08-01,35.0942
332,2008-09-01,35.0241
333,2008-10-01,34.9539
334,2008-11-01,34.8536
335,2008-12-01,34.4026
336,2009-01-01,33.8412
337,2009-02-01,33.6307
338,2009-03-01,32.3376
339,2009-04-01,31.4956
340,2009-05-01,31.2751
341,2009-06-01,31.1447
342,2009-07-01,31.245
343,2009-08-01,31.4856
344,2009-09-01,31.4655
345,2009-10-01,31.4455
346,2009-11-01,30.9743
347,2009-12-01,30.2827
348,2010-01-01,30.403
349,2010-02-01,30.2827
350,2010-03-01,30.423
351,2010-04-01,30.3729
352,2010-05-01,30.9643
353,2010-06-01,30.7438
354,2010-07-01,30.3528
355,2010-08-01,30.3528
356,2010-09-01,30.4631
357,2010-10-01,30.7237
358,2010-11-01,30.7037
359,2010-12-01,30.3328
360,2011-01-01,30.5634
361,2011-02-01,30.8841
362,2011-03-01,30.9944
363,2011-04-01,31.2049
364,2011-05-01,32.0369
365,2011-06-01,32.1973
366,2011-07-01,32.1572
367,2011-08-01,32.2574
368,2011-09-01,32.6885
369,2011-10-01,33.0293
370,2011-11-01,33.0293
371,2011-12-01,33.33
372,2012-01-01,33.3801
373,2012-02-01,33.2999
374,2012-03-01,33.7009
375,2012-04-01,33.6107
376,2012-05-01,33.7209
377,2012-06-01,34.2121
378,2012-07-01,34.5128
379,2012-08-01,34.4326
380,2012-09-01,34.6632
381,2012-10-01,34.9639
382,2012-11-01,35.1043
383,2012-12-01,35.2546
384,2013-01-01,35.1544
385,2013-02-01,35.2346
386,2013-03-01,35.2346
387,2013-04-01,35.4651
388,2013-05-01,35.9262
389,2013-06-01,36.5778
390,2013-07-01,36.8184
391,2013-08-01,36.7682
392,2013-09-01,37.099
393,2013-10-01,37.7105
394,2013-11-01,37.8408
395,2013-12-01,37.6604
396,2014-01-01,37.7706
397,2014-02-01,38.3119
398,2014-03-01,39.1439
399,2014-04-01,39.4346
400,2014-05-01,39.3845
401,2014-06-01,39.0638
402,2014-07-01,39.174
403,2014-08-01,40.1764
404,2014-09-01,40.2165
405,2014-10-01,40.2065
406,2014-11-01,40.4671
407,2014-12-01,41.2891
408,2015-01-01,41.7101
409,2015-02-01,42.4519
410,2015-03-01,42.5922
411,2015-04-01,42.492
412,2015-05-01,42.9531
413,2015-06-01,42.9531
414,2015-07-01,43.334
415,2015-08-01,43.4342
416,2015-09-01,43.9555
417,2015-10-01,44.2261
418,2015-11-01,44.3565
419,2015-12-01,44.9579
420,2016-01-01,45.2486
421,2016-02-01,45.429
422,2016-03-01,45.7598
423,2016-04-01,46.0906
424,2016-05-01,46.6219
425,2016-06-01,47.6443
426,2016-07-01,48.6969
427,2016-08-01,49.1379
428,2016-09-01,49.2983
429,2016-10-01,50.2606
430,2016-11-01,50.9423
431,2016-12-01,51.6941
432,2017-01-01,52.6063
433,2017-02-01,53.8994
434,2017-03-01,55.3428
435,2017-04-01,56.5557
436,2017-05-01,57.5982
437,2017-06-01,57.7386
438,2017-07-01,57.9391
439,2017-08-01,58.5004
440,2017-09-01,58.9816
441,2017-10-01,59.0818
442,2017-11-01,58.6508
443,2017-12-01,58.7711
444,2018-01-01,59.3524
445,2018-02-01,59.6331
446,2018-03-01,59.603
447,2018-04-01,60.0241
448,2018-05-01,60.2346
449,2018-06-01,60.7458
450,2018-07-01,60.9362
451,2018-08-01,60.8962
452,2018-09-01,61.2771
453,2018-10-01,61.5277
454,2018-11-01,62.1391
455,2018-12-01,62.2294
456,2019-01-01,62.4499
457,2019-02-01,61.8184
458,2019-03-01,62.1692
459,2019-04-01,62.3797
460,2019-05-01,62.5601
461,2019-06-01,62.6604
462,2019-07-01,62.7205
463,2019-08-01,63.0714
464,2019-09-01,63.4423
465,2019-10-01,63.7731
466,2019-11-01,63.6127
467,2019-12-01,63.6528
468,2020-01-01,63.9836
469,2020-02-01,64.3344
470,2020-03-01,64.4246
471,2020-04-01,64.3945
472,2020-05-01,64.9358
473,2020-06-01,65.0561
474,2020-07-01,65.818
475,2020-08-01,66.3292
476,2020-09-01,66.9908
477,2020-10-01,67.6223
478,2020-11-01,68.1736
479,2020-12-01,68.5746
480,2021-01-01,68.6347
481,2021-02-01,69.0557
482,2021-03-01,71.3412
483,2021-04-01,73.2358
484,2021-05-01,74.3986
485,2021-06-01,75.4711
486,2021-07-01,75.9623
487,2021-08-01,77.1852
488,2021-09-01,78.1375
489,2021-10-01,79.2101
490,2021-11-01,79.7414
491,2021-12-01,81.2149
492,2022-01-01,82.5682
493,2022-02-01,84.603
494,2022-03-01,87.1993
495,2022-04-01,89.575
496,2022-05-01,92.2715
497,2022-06-01,94.3264
498,2022-07-01,95.3288
499,2022-08-01,94.9178
500,2022-09-01,95.6997
501,2022-10-01,96.251
502,2022-11-01,95.9603
503,2022-12-01,95.3188
504,2023-01-01,94.8677
505,2023-02-01,95.1183
506,2023-03-01,96.5617
507,2023-04-01,97.3035
508,2023-05-01,97.9451
509,2023-06-01,96.8725
510,2023-07-01,96.1307
511,2023-08-01,96.7823
512,2023-09-01,98.1455
513,2023-10-01,99.0778
514,2023-11-01,99.1881
515,2023-12-01,99.6492
516,2024-01-01,100.0
517,2024-02-01,101.9
518,2024-03-01,102.7
519,2024-04-01,103.5
520,2024-05-01,104.9
521,2024-06-01,106.4
522,2024-07-01,107.2
523,2024-08-01,108.7
524,2024-09-01,108.4
525,2024-10-01,108.6
526,2024-11-01,109.5
527,2024-12-01,108.8
528,2025-01-01,110.4
529,2025-02-01,110.5
530,2025-03-01,110.9
531,2025-04-01,111.4
532,2025-05-01,110.9
533,2025-06-01,111.4
534,2025-07-01,111.7
535,2025-08-01,111.1
536,2025-09-01,112.8
537,2025-10-01,112.8
